Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label,Verification_Status
Portrait of St. Francis Xavier,Q64494799,,,Portrait of St. Francis Xavier,
Portrait of Streit's Father,,,,,
Portrait of Streit's Mother,,,,,
Portrait of Streit's Sister,,,,,
Portrait of Teodoro Correr,Q2403974,,,Teodoro Correr,
Portrait of Three Musicians of the Medici Court,Q124218016,Q104691454,,Portrait of Three Musicians of the Medici Court,
Portrait of a Cook,Q110803962,,,A Cook,
Portrait of the Artist and his Publisher Albrizzi,Q19924628,,,Portrait of the Artist,
Portrait of the Queen of Prussia,,,,,
Portraits of Venetian Cardinals,,,,,
Portraits of Venetian Popes,,,,,
Portraits of the Count and Countess of Monterrey,Q3937425,,,Portrait of the Court Jester Gonella,
Portraits of the Doges of Venice,,,,,
Potiphar,Q63882516,,,Potiphar,
Potsdam,Q1711,,,Potsdam,
Powis House,Q7236912,,,Powis House,
Požarevac,Q199942,,,Požarevac,
Prato della Valle,Q2636862,,,Prato della Valle,
Presenzini Cigoli,Q928350,,,,
Priapus,Q206878,Q106398256,,Priapus,
Prices paid to artists,,,,,
Prince Eugene of Savoy,Q152428,,,Eugene of Savoy,
Prince Maurice of Savoy,Q610738,,,Prince Maurice of Savoy,
Prince Peretti,Q82659,,,,
Prince Pio di Savoia,,,,,
Princess of Rossano,Q7086876,,,,
Procida,Q72432,,,Procida,
Procuratie Nuove,Q55685864,,,Procuratie nuove - ex Palazzo reale,
Procuratore Canale,,,,,
Prometheus,Q106777102,Q10354546,,Prometheus,
Prospero Colonna,Q3924128,Q1392133,,Prospero Colonna,
Prospero Mandosio,Q3924132,,,Prospero Mandosio,
Prospero Pesci,,,,,
Protestant Cemetery,Q109229401,,,protestant cemetery,
Protestant Cemetery (Venice),Q16856270,,,Protestant Cemetery,
Provence,Q101081,Q70450,,Provence,
Provincial centres of art patronage,,,,,
Prudence and Justice,Q110802268,,,Prudence and Justice,
Prunières,Q720585,,,Prunières,
Public Felicity Triumphant over Dangers,Q18572437,,,Public Felicity Triumphant over Dangers,
Public Record Office,Q1505035,,,Public Record Office,
Publishers in Venice,,,,,
Pyrrhus and Demetrius,Q85851715,,,Pyrrhus and Demetrius,
Quadri che rappresentano fatti della Sacra Scrittura,,,,,
Queen Jezebel Being Punished by Jehu,,,,,
Quirinal Hill,Q207896,,,Quirinal Hill,
Quirinal Palace,Q223079,,,Quirinal Palace,
R. L. Brett,Q7298940,,,Raymond L. Brett,
Raccolta di centododici stampe...,,,,,
Raffaele Colapietra,Q3929046,,,Raffaele Colapietra,
Raffaele Soprani,Q3417351,,,Raffaele Soprani,
Raffaello Marchesi,Q28919669,,,Raffaele Marchesi,
Raimondo Buonaccorsi,Q109805360,,,Raimondo Buonaccorsi,
Ralph Bankes,Q7287206,,,Ralph Bankes,
Ranuccio I Farnese,Q544873,,,Ranuccio I Farnese,
Ranuccio II Farnese,Q555008,,,Ranuccio II Farnese,
"Ranuccio II Farnese, Duke of Parma",Q555008,,,Ranuccio II Farnese,
Raphael,Q561205,,,Raphael,
Raphael Loggias,,,,,
Reason and fantasy,Q178354,,,Reason,
Rebecca,Q40520,Q503607,,Rebecca,
Rebecca and Eliezer,Q6102310,,,Rebecca and Eliezer,
Reception of Landscapes,,,,,
Regatta on the Grand Canal in Honour of Frederick IV of Denmark,Q21716446,,,"Regatta on the Grand Canal in Honour of Frederick IV of Denmark on 4 March, 1710",
Regensburg,Q2978,,,Regensburg,
Reinhard Sebastian Zimmermann,Q1763601,,,Reinhard Sebastian Zimmermann,
Relief of Field Marshal Schulenburg,,,,,
Religion Overthrowing Heresy,,,,,
Religious Decorations at Whitehall,,,,,
Rembrandt,Q5598,,,Rembrandt,
Remondini family,,,,,
Remus,Q1242632,,,Remus,
Renier Zen,Q96081900,,,Renier Zen,
René Pintard,Q2144797,,,René Pintard,
Republic of Venice,Q4948,,,Republic of Venice,
Rest on the Flight into Egypt,Q28796949,Q20175244,,Rest on the Flight into Egypt,Human Verified
Resurrection of Christ,Q18573503,Q677682,,Resurrection of Christ,
Rhineland,Q152243,,,Rhineland,
Rialto Bridge,Q52505,,,Rialto Bridge,
"Richard Boyle, 3rd Earl of Burlington",Q555723,,,"Richard Boyle, 3rd Earl of Burlington",
Richard Krautheimer,Q90407,,,Richard Krautheimer,
Richard Mead,Q112419756,,,Richard Mead,
Richard Parkes Bonington,Q380395,,,Richard Parkes Bonington,
Richard Wilson,Q471387,,,Richard Wilson,
Rieti,Q13396,,,Rieti,
Riguccio Galluzzi,Q3805930,,,Jacopo Riguccio Galluzzi,
Rimini,Q13369,,,Rimini,
Risen Christ (Michelangelo),Q22945654,,,Risen Christ,
Ritratto con cristallo,,,,,
River Landscape with Apollo and the Cumaean Sibyl,Q106584403,,,River Landscape with Apollo and the Cumaean Sibyl,
Robert Adam,Q312635,,,Robert Adam,
Robert Alexander Waller Fund,,,,,
Robert Bellarmine,Q298664,,,Robert Bellarmine,
"Robert Benson, 1st Baron Bingley",Q111640,,,"Robert Benson, 1st Baron Bingley",
"Robert Devereux, 2nd Earl of Essex",Q437917,,,"Robert Devereux, 2nd Earl of Essex",
Robert Dingley,Q19043520,Q18527207,,Robert Dingley,
Robert Enggass,Q18935171,,,Robert Enggass,
Robert Halsband,Q52157303,,,Robert Halsband,
"Robert Harley, 1st Earl of Oxford",Q332499,,,"Robert Harley, 1st Earl of Oxford and Earl Mortimer",
Robert Hervey,Q7345473,,,Robert Hervey,
Robert Nanteuil,Q1356084,,,Robert Nanteuil,
Robert Walpole,Q104190,,,Robert Walpole,
Roberto Lanetti,Q3938821,,,Roberto Gabetti,
Roberto Longhi,Q1361667,,,Roberto Longhi,
Roberto d'Oderisio,Q3437002,,,Roberto d'Oderisio,
Rococo Pavilion,,,,,
Rodolfo Gallo,Q61476139,,,Rodolfo Gallo,
Rodolfo Pallucchini,Q3438258,,,Rodolfo Pallucchini,
Roger Hinks,Q19754105,,,Roger Hinks,
Roger Jones,Q19997588,Q7358423,,Roger Jones,
Roger Joseph Boscovich (Ruđer Bošković),Q310757,,,Roger Joseph Boscovich,
Roger Morris,Q370192,Q20734372,,Roger Morris,
Roman Charity (Caritas Romana),Q9184549,,,Roman Charity,
Roman Curia,Q108169,,,Roman Curia,
Romania,Q18487313,Q218,,Romania,
Romolo Panfi,Q16853915,,,Romolo Panfi,
Romulus,Q2186,,,Romulus,
Romulus and Remus,Q2197,,,Romulus and Remus,
Rosalba Carriera,Q237726,,,Rosalba Carriera,
Rosalba Lorenzetti,,,,,
Rovereto,Q279373,,,Rovereto,
Royal Academy of Arts,Q270920,,,Royal Academy of Arts,
Royal Alcázar of Madrid,Q2832241,,,Royal Alcazar of Madrid,
Royal Chapel,Q3586097,,,Royal Chapel,
Royal Collection,Q1459037,,,Royal Collection,
Royal Gallery,Q83287058,,,Royal Gallery,
Royal Hospital Chelsea,Q1628509,,,Royal Hospital Chelsea,
Royal Library of Turin,Q856408,,,Royal Library of Turin,
Royal Palace of Aranjuez,Q530129,,,Royal Palace of Aranjuez,
Royal Palace of Madrid,Q171517,,,Royal Palace of Madrid,
Royal Palace of Naples,Q426339,,,Royal Palace of Naples,
Royal Palace of Turin,Q19824,,,Royal Palace of Turin,
Royal Society,Q123885,,,Royal Society,
Royal Swedish Academy of Sciences,Q191583,,,Royal Swedish Academy of Sciences,
Rudolf Wittkower,Q215999,,,Rudolf Wittkower,
Rue de Richelieu,Q2915495,,,rue de Richelieu,
Ruggero Nuti,Q42298127,,,Ruggero Nuti,
Ruins of the Church of the Cross,,,,,
Rules of the Order,Q25036139,,,Rules of the Workers' Party of Korea,
Ruđer Josip Bošković,Q310757,,,Ruđer Josip Bošković,
Sacrifices to Priapus,,,,,
Saint Agnes,Q451548,,,Saint Agnes,
Saint Alexis,Q3461722,,,Saint-Alexis,
Saint Aloysius Gonzaga,Q112911847,,,Saint-Aloysius-Gonzaga,
Saint Andrew,Q77959687,Q2391916,,Saint Andrew,
Saint Andrew Avellino,Q115902551,,,Saint Andrew Avellino oratory,
Saint Bartholomew,Q21520257,,,Saint Bartholomew,
Saint Benedict,Q7401038,,,Saint Benedict,
Saint Catherine of Siena,Q229190,,,Catherine of Siena,
Saint Dominic,Q44091,,,Saint Dominic,
Saint Domitilla,Q26255328,,,Flavia Domitilla,
Saint Francis Xavier,Q5117037,,,St Francis Xavier,
Saint Francis of Assisi,Q676555,,,Francis of Assisi,
Saint Francis of Paola,Q59979854,,,Saint Francis of Paola,
Saint George,Q48438,,,Saint George,
Saint Ignatius of Loyola,Q99439716,,,Saint Ignatius of Loyola,
Saint John Chrysostom,Q43706,,,John Chrysostom,
Saint John the Baptist,Q40662,,,John the Baptist,
Saint Joseph,Q128267,Q680071,,Saint-Joseph,
Saint Justina of Padua,Q288295,,,Justina of Padua,
Saint Lawrence,Q509090,,,Saint Lawrence,
Saint Longinus,Q7401650,,,Saint Longinus,
Saint Mark,Q526195,,,Saint Mark,
Saint Paul,Q9200,Q316887,,Saint-Paul,
Saint Peter,Q33923,,,Saint Peter,
Saint Peter Penitent,Q27964827,,,Saint Peter Penitent,
Saint Petersburg,Q656,,,Saint Petersburg,
Saint Philip Neri,Q217791,Q75426461,,Saint Philip Neri,
Saint Romuald,Q3463298,,,Saint-Romuald,
Saint Sebastian,Q3947947,Q183332,,Saint Sebastian,
Saint Simon Stock,Q21764201,,,Saint Simon Stock,
Saint Stanislaus Kostka,Q124905023,,,Saint Stanislaus Kostka,
Saint Susanna,Q42195908,,,Saint Susanna,
Saint Teresa of Avila,Q174880,,,Teresa of ávila,
Saint Thomas Aquinas,Q3948009,,,Saint Thomas Aquinas,
Saint Vincent Ferrer,Q317131,,,Vincent Ferrer,
Saint William of Aquitaine,Q59827123,,,Saint William of Aquitaine,
Saint-Mathieu Church,Q29324323,,,Saint-Mathieu Church,
Saint-Omer,Q208793,,,Saint-Omer,
Saints John and Charles Borromeo,Q21614548,,,Saints John and Saint Matthew,
Saints Peter and Paul Baptizing in the Mamertine Prison,Q3949357,,,Saints Peter and Paul,
Salomon de Brosse,Q725816,,,Salomon de Brosse,
Salone,Q37516201,,,Salone,
Salvator Rosa,Q359421,,,Salvator Rosa,
Salvator Varda,Q312610,,,Salvatore Adamo,
Salviati family,Q7406939,,,Salviati family,
Salvino Salvini,Q3946279,Q13415683,,Salvino Salvini,
Samson,Q2217694,,,Samson,
Samson Slaying a Thousand with the Jawbone of an Ass,Q27700016,,,,
Samuel H. Kress Foundation,Q30272990,,,Samuel H. Kress Foundation,
Samuel Henry Kress,Q3471151,,,Samuel Henry Kress,
Samuel Hill,Q28955153,Q107435955,,Samuel Hill,
Samuel Johnson,Q183266,,,Samuel Johnson,
Samuel von Pufendorf,Q57186,,,Samuel von Pufendorf,
Samuele Romanin,Q3946678,,,Samuele Romanin,
San Bartolomeo all'Isola,Q1755418,,,San Bartolomeo all'Isola,
San Basilio agli Orti Sallustiani,Q3669578,,,San Basilio agli Orti Sallustiani,
San Canciano,Q1400212,,,San Canciano,
San Carlo ai Catinari,Q19593814,,,San Carlo ai Catinari,
San Carlo alle Quattro Fontane,Q110796709,,,"San Carlo alle Quattro Fontane, Rome: the campanile",
San Damaso,Q3669840,,,San Damaso,
San Domenico,Q644828,,,San Domenico,
San Francesco de' Macci,Q3001634,,,San Francesco de' Macci,
San Francesco della Vigna,Q946542,,,San Francesco della Vigna,
San Francesco di Paola ai Monti,Q1581615,,,San Francesco di Paola ai Monti,
San Gaetano,Q764060,Q16540121,,San Gaetano,
San Giorgio Maggiore,Q126327,,,San Giorgio Maggiore,
San Giovanni Decollato,Q1255741,Q3904610,,San Giovanni Decollato,
San Giovanni Grisostomo,Q915746,,,"San Giovanni Grisostomo, Venice",
San Giovanni dei Fiorentini,Q123987066,,,San Giovanni dei Fiorentini,
San Giovanni in Laterano,Q5528647,,,Via San Giovanni in Laterano,
San Girolamo della Carità,Q888055,,,San Girolamo della Carità,
San Lanfranco,Q29557920,,,San Lanfranco,
San Lorenzo,Q7414682,,,San Lorenzo,
San Lorenzo in Damaso,Q1886229,,,San Lorenzo in Damaso,
San Luigi dei Francesi,Q638283,,,San Luigi dei Francesi,
San Marco,Q982353,,,San Marcos,
San Marco (Parish),Q52427,,,San Marco,
San Martino ai Monti,Q1663278,,,San Martino ai Monti,
San Matteo,Q3671154,,,San Matteo,
San Niccolò al Lido,,,,,
San Pietro (Perugia),Q366832,,,San Pietro,
San Salvador,Q1028202,Q3110,,San Salvador,
San Salvatore (Brescia),Q242658,,,San Salvatore,
San Salvatore in Lauro,Q659529,,,San Salvatore in Lauro,
San Sebastiano,Q588559,Q56323344,,San Sebastiano,
San Sebastiano fuori le mura,Q658051,,,San Sebastiano fuori le mura,
San Sisto Vecchio,Q2736770,,,San Sisto Vecchio,
San Tomà,Q3585387,,,"San Tomà, Venice",
San Vitale,Q1579529,,,San Vitale,
San Zaccaria,Q794876,,,San Zaccaria,
Sandrina Bandera Bistoletti,Q106678699,,,Sandrina Bandera Bistoletti,
Sant'Agnese in Agone,Q1192577,,,Sant'Agnese in Agone,
Sant'Alvise,Q1400201,,,Sant'Alvise,
Sant'Andrea al Quirinale,Q1354667,,,Sant'Andrea al Quirinale,
Sant'Andrea della Valle,Q1631593,,,Sant'Andrea della Valle,
Sant'Aponal,Q1403387,,,Sant'Aponal,
Sant'Ignazio di Loyola,Q3672826,,,Sant'Ignazio di Loyola,
Santa Bibiana,Q443392,,,Saint Bibiana,
Santa Cecilia in Trastevere,Q1479873,,,Santa Cecilia in Trastevere,
Santa Maria Assunta,Q585738,Q55189263,,Santa Maria Assunta,
Santa Maria Formosa,Q1813687,Q65129859,,Santa Maria Formosa,
Santa Maria Gloriosa dei Frari,Q224961,,,Santa Maria Gloriosa dei Frari,
Santa Maria Maddalena dei Pazzi,Q1784984,Q449424,,Santa Maria Maddalena dei Pazzi,
Santa Maria Maggiore,Q2001128,Q1304828,,Santa Maria Maggiore,
Santa Maria dei Carmini,Q2780025,,,Santa Maria dei Carmini,
Santa Maria del Giglio,Q3673736,,,Santa Maria del Giglio,
Santa Maria del Popolo,Q869513,Q3673755,,Santa Maria del Popolo,
Santa Maria del Rosario (Gesuati),Q17625057,,,Santa Maria del Rosario,
Santa Maria della Carità,Q54864198,,,Santa Maria della Carità,
Santa Maria della Concezione dei Cappuccini,Q546141,,,Santa Maria della Concezione dei Cappuccini,
Santa Maria della Fava,Q65021802,,,Santa Maria della Fava,
Santa Maria della Pace,Q1514683,,,Santa Maria della Pace,
Santa Maria della Pietà,Q1559661,Q45813490,,Santa Maria della Pietà,
Santa Maria della Salute,Q52531,Q3673912,,Santa Maria della Salute,
Santa Maria della Vittoria,Q863593,Q2051448,,Santa Maria della Vittoria,
Santa Maria di Loreto,Q461997,Q120257208,,Santa Maria di Loreto,
Santa Maria di Nazareth (Scalzi),Q17156275,,,Santa Maria di Nazareth,
Santa Maria in Montesanto,Q1809115,,,Santa Maria in Montesanto,
Santa Maria in Vallicella,Q2031901,,,Santa Maria in Vallicella,
Santa Maria sopra Minerva,Q823685,,,Santa Maria sopra Minerva,
Santa Marta (Naples),Q209016,,,Santa Marta,
Santa Prassede,Q733890,Q111842579,,Santa Prassede,
Santi Apostoli,Q1515300,Q118984026,,Santi Apostoli,
Santi Apostoli (Venice/Rome),Q118984026,,,Santi Apostoli,
Santi Cosma e Damiano,Q112812028,,,Santi Cosma e Damiano,
Santi Cosma e Damiano (Giudecca),Q112812028,,,Santi Cosma e Damiano,
Santi Nereo e Achilleo,Q2223492,,,Santi Nereo e Achilleo,
Santi Quattro Coronati,Q338132,,,Santi Quattro Coronati,
Santi Vincenzo e Anastasio a Trevi,Q2313394,,,Santi Vincenzo e Anastasio a Trevi,
Santissima Annunziata,Q2287001,Q25112887,,Santissima Annunziata,
Santo Stefano,Q3585448,,,Santo Stefano,
Santo Stefano Rotondo,Q916860,Q919456,,Santo Stefano Rotondo,
Sapienza University of Rome,Q209344,,,Sapienza University of Rome,
"Sarah Churchill, Duchess of Marlborough",Q19176,,,"Sarah Churchill, Duchess of Marlborough",
Sassoferrato,Q124886,,,Sassoferrato,
Sassoferrato (Giovanni Battista Salvi),Q1345289,,,Giovanni Battista Salvi da Sassoferrato,
Saverio Bettinelli,Q1152092,,,Saverio Bettinelli,
Saverio Savini,,,,,
Savoy,Q37556148,,,Savoy,
Scala Regia,Q1073397,,,Scala Regia,
Scandinavia,Q21195,,,Scandinavia,
Scenes from the Aeneid,Q29130254,,,Scenes from the Aeneid,
Scenes from the Life of Scipio Africanus,,,,,
Scenes of Christian Warfare,,,,,
Scenes of Venetian Noble Life,,,,,
Scenes of Witchcraft,Q60473367,,,Scenes of Witchcraft,
Schleissheim Palace,Q680166,,,Schlei?heim palace complex,
Schloss Weimar,Q878253,,,Schloss Weimar,
Schloss Weißenstein (Pommersfelden),Q21863922,,,Schloss Weißenstein,
School of Carlo Cignani,,,,,
Schönborn family,,,,,
Schönbrunn Palace,Q131330,,,Schönbrunn Palace,
Scipio Aemilianus,Q2307,,,Scipio Aemilianus,
Scipione Borghese,Q452570,,,Scipione Borghese,
Scipione Maffei,Q1587432,Q3831958,,Scipione Maffei,
Scipione Pulzone,Q2632216,,,Scipione Pulzone,
Scottish National Gallery,Q942713,,,Scottish National Gallery,
Scrovegni Chapel,Q963954,,,Scrovegni Chapel,
Scrovegni Chapel (Arena Chapel),Q963954,,,Scrovegni Chapel,
Sculptures for the Cathedral,,,,,
Scuola Grande dei Carmini,Q1641449,,,Scuola Grande dei Carmini,
Scuola Grande dei Carmini / Carità?,,,,,
Scuola Grande di San Rocco,Q1270723,,,Scuola Grande di San Rocco,
Sebastiano Bombelli,Q963486,,,Sebastiano Bombelli,
Sebastiano Conca,Q774781,,,Sebastiano Conca,
Sebastiano Foscarini,Q110162385,,,Sebastiano Foscarini,
Sebastiano Galeotti,Q3953755,,,Sebastiano Galeotti,
Sebastiano Marcotti,,,,,
Sebastiano Molino,,,,,
Sebastiano Resta,Q23836183,,,Sebastiano Resta,
Sebastiano Ricci,Q26878812,Q506483,,Sebastiano Ricci,
Sebastiano Serlio,Q452318,,,Sebastiano Serlio,
Secondo Lancellotti,Q15733678,,,Secondo Lancellotti,
Seebohm Rowntree,Q2896227,,,Seebohm Rowntree,
Self-Portrait as David,Q20404260,,,Self-portrait as David with the head of Goliath,
Self-Portrait as Winter,,,,,
Seminario Patriarcale di Venezia,Q105988819,,,Patriarchal Seminary of Venice,
Semiramis Called to Arms,Q97838760,,,Semiramis Called to Arms,
Senate,Q2570643,,,senate,
Seneca,Q114364152,,,Seneca,
Seneca the Younger,Q63537036,,,Seneca the Younger,
Senigallia,Q124925,,,Senigallia,
Serapis,Q214554,,,Serapis,
Serge Ernst,Q2111938,,,Serge Ernst,
Sergio Ortolani,Q59525924,Q60786953,,Sergio Ortolani,
Sergio Samek Ludovici,Q94912134,,,Sergio Samek Ludovici,
Series of Egyptian Figures,,,,,
Series of Etruscan Phallic Symbols,,,,,
Service de Documentation Photographique des Musées Nationaux,,,,,
Servizio particolare,,,,,
Seymour Slive,Q15430972,,,Seymour Slive,
Sforza Pallavicino,Q1618919,Q47482530,,Sforza Pallavicino,
Sheila Rinehart,,,,,
Shrines,Q697295,,,shrine,
"Sidney Godolphin, 1st Earl of Godolphin",Q947776,,,"Sidney Godolphin, 1st Earl of Godolphin",
Sigismund Streit,Q90687,,,Sigismund Streit,
Silvestro Manaigo,Q37607085,,,Silvestro Manaigo,
Silvia Carandini,Q113801624,,,Silvia Carandini,
Silvia Meloni Trkulja,,,,,
Silvio Ubaldi,Q3960825,,,Silvio Baldini,
Simon Vouet,Q317920,,,Simon Vouet,
Simone Buonaccorsi,Q3484548,Q109806863,,Simone Buonaccorsi,
Sir George Edward Leon,Q75507406,,,"Sir George Edward Leon, 2nd Bt.",
Sir George Wheler,Q7526946,,,Sir George Wheler,
"Sir Richard Worsley, 7th Baronet",Q7528684,,,"Sir Richard Worsley, 7th Baronet",
"Sir Robert Bernard, 1st Baronet",Q7528720,,,"Sir Robert Bernard, 1st Baronet",
Sir Thomas Baines,Q96091169,,,Sir Thomas Baines,
"Sir Thomas Isham, 3rd Baronet",Q16848721,,,"Sir Thomas Isham, 3rd Baronet",
Sir Watkin Williams-Wynn,Q7529420,,,"Sir Watkin Williams-Wynn, 3rd Baronet",
Sir William Hamilton,Q75658567,,,Sir William Hamilton,
Sirolo,Q124999,,,Sirolo,
Sisera,Q976765,Q76421887,,Sisera,
Sistine Chapel,Q2943,,,Sistine Chapel,
Sixtus V,Q133350,,,Sixtus V,
Sketch for Venus at the Forge of Vulcan,Q26808343,,,,
Social position of the artist,,,,,
Social significance of painting,,,,,
Social status of artists,,,,,
Society of Antiquaries of London,Q5417893,,,Society of Antiquaries of London,
Society of Jesus,Q36380,,,Society of Jesus,
Socrates,Q913,,,Socrates,
Soderini family,,,,,
Solomon,Q18607853,,,Solomon,
Solomon Adoring the Idols,Q98206950,,,Solomon Adoring the Idols,
Solomon and Bathsheba,Q110786686,,,Solomon and Bathsheba,
Solomon in the Temple,Q19897770,,,Solomon in the Temple,
Solomon's Temple,Q223644,Q26627670,,Solomon's Temple,
Somerset House,Q1344889,,,Somerset House,
Sophia Dorothea of Hanover,Q161131,,,Sophia Dorothea of Hanover,
Sophronia and Olindo,Q43211805,,,Sophronia,
Soprintendenza alle Gallerie,,,,,
Sotheby's,Q654762,Q121057985,,Sotheby's,
South Shetland Islands,Q140948,,,South Shetland Islands,
Spanish patronage,,,,,
St Augustine's Abbey,Q334303,,,St Augustine's Abbey,
St Jerome in the Wilderness,Q21723150,,,St Jerome in the Wilderness,
St Stanislaus Kostka on his Deathbed,,,,,
St. Charles Borromeo Church (Antwerp),Q7587498,,,St. Charles Borromeo Church,
St. Mark's Basilica,Q172988,,,St Mark's Basilica,
St. Michael Vanquishing Satan,Q594470,,,St. Michael Vanquishing Satan,
St. Paul's Cathedral,Q173882,Q2441417,,St. Paul's Cathedral,
St. Peter's Baldachin,Q2439030,,,St. Peter's Baldachin,
St. Peter's Basilica,Q12512,,,St. Peter's Basilica,
St. Peter's Square,Q23940745,Q21016226,,St. Peter's Square,
St. Philip Neri and the Virgin,Q79992780,,,St. Philip Neri,
Staatliche Kunstsammlungen Dresden,Q653002,,,Staatliche Kunstsammlungen Dresden,
Stadtarchiv Hannover,Q1310039,,,Municipal Archive Hannover,
Stamperia Albrizzi,,,,,
Stanislao Fraschetti,Q19754117,,,Stanislao Fraschetti,
Stanisław August Poniatowski,Q54019,,,Stanisław August Poniatowski,
State Hermitage Museum,Q132783,,,Hermitage Museum,
State Inquisition,,,,,
State Papers,Q7603850,,,state papers,
State Rooms,Q9307388,,,State Rooms of the Wawel Castle,
Stations of the Cross,Q231685,,,stations of the Cross,
Statue of Field Marshal Schulenburg,,,,,
Statue of Hercules killing the Hydra,Q63861548,,,,
Statue of Pope Urban VIII,Q15378957,,,Statue of Pope Urban VIII,
Statues of the Apostles (Lateran),,,,,
Status-seeking (Concept),,,,,
Stefano Cadani,Q325166,,,Stefano Scodanibbio,
Stefano Conti,Q4026944,Q57909808,,Stefano Conti,
Stefano Landi,Q381943,Q48096814,,Stefano Landi,
Stefano Lorenzini,Q2356563,,,Stefano Lorenzini,
Stefano Sadani,Q1758245,,,Stefano Sannino,
Stefano Sagredo,,,,,
Stefano della Bella,Q921242,,,Stefano della Bella,
Stella Rudolph,Q134459863,,,Stella Rudolph,
Stendhal,Q502,,,Stendhal,
Stockholm Palace,Q750444,,,Stockholm Palace,
Stoicism in 17th century,,,,,
Strada Emanuele,,,,,
Strada Nuova,Q18443331,Q3499946,,Strada Nuova,
Stralsund,Q4065,,,Stralsund,
Strength protecting Wisdom,,,,,
Strozzi family,Q103968818,,,Strozzi family,
Studiolo of Isabella d'Este,Q1751463,,,Studiolo of Isabella d'Este,
Study for the Fountain of the Four Rivers,,,,,
Sulla maniera di Zorzone,,,,,
Superstition in Rome,Q25344639,,,Superstition in Korea,
Susanna,Q14936808,,,Susanna,
Susanna and the Elders,Q16913597,,,Susanna and the Elders,
Svetlana Alpers,Q449499,,,Svetlana Alpers,
Syrinx,Q846129,Q16992917,,Syrinx,
Sándor Baumgarten,Q791500,,,Sándor Baumgarten,
Ségala,Q3510536,Q3510535,,Ségala,
T. & A. Constable,Q126326784,,,T. & A. Constable Ltd.,
Taddeo Barberini,Q3817341,,,Taddeo Barberini,
Tahiti,Q42000,,,Tahiti,
Tancred Borenius,Q4350667,,,Tancred Borenius,
Tarantella Dancers,,,,,
Tarquin and Lucretia and a Joseph,Q3515794,,,Tarquin,
Taste in art (German princes),Q111936370,,,Taste in Translation,
Tavole Barberini,,,,,
Teatro Farnese,Q1507811,Q111916404,,Teatro Farnese,
Teatro Malibran,Q3982047,,,Teatro Malibran,
Temperance,Q116026602,,,Temperance,
Tempio Malatestiano,Q1268593,,,Tempio Malatestiano,
Tempio della Beata Vergine del Soccorso,Q3668856,,,Beata Vergine del Soccorso (Rovigo),
Temple Newsam,Q2748017,Q55466781,,Temple Newsam,
Temple in Jerusalem,Q3906600,,,Temple in Jerusalem,
Temple of Concord,Q828143,,,Temple of Concord,
Temple of Fortuna,Q849241,,,Temple of Portunus,
Temple of Justice,Q18158679,,,Temple of Justice,
Temple of Kronos,Q65238154,,,Temple of Kronos and Rhea,
Temple of Minerva Medica,Q1411575,,,Temple of Minerva Medica,
Teodora dal Pozzo,,,,,
Teodoro Correr,Q2403974,,,Teodoro Correr,
Teodoro Viero,Q6141801,,,Teodoro Viero,
Teofilo Gallaccini,Q51527555,,,Teofilo Gallaccini,
Terence,Q172048,,,Terence,
Teresa Maria Marcellino,,,,,
Terisio Pignatti,Q2404709,,,Terisio Pignatti,
Terni,Q8621,,,Terni,
The Abduction of Helen,Q118876935,Q99476590,,The Abduction of Helen,
The Adoration of the Magi,Q28027599,Q2489939,,The Adoration of the Magi,
The Adoration of the Mystic Lamb,,,,,
The Andrians,Q18600136,,,The Andrians,
The Apostles,Q3068632,,,The Apostles,
The Apotheosis of Christ's Blood and the Holy Cross,Q50948769,,,The Apotheosis of Christ's Blood and the Holy Cross  (bozzetto),
The Arrival at the Palace,,,,,
The Arrival of the Earl of Manchester in Venice,Q98145601,,,The Arrival of the Earl of Manchester in Venice,
The Artist with a Group of Friends,Q171861,,,The Artist,
The Ascension,Q21382018,,,The Ascension,
The Ascension of Christ,Q30057437,,,The Ascension of Christ,
The Assassination of Saint Peter Martyr,Q21821454,,,The Assassination of Saint Peter Martyr,
The Assumption of St Aloysius Gonzaga,,,,,
The Assumption of the Virgin,Q11837891,,,The Assumption of the Virgin,
The Bacchanal of the Andrians,Q3632485,,,The Bacchanal of the Andrians,
The Banquet of Cleopatra,Q18167078,Q16741676,,The Banquet of Cleopatra,
The Baptism of Christ,Q19911646,Q134436450,,The Baptism of Christ,
The Bath of Diana,Q28061534,,,the bath of Diana,
The Bathers,Q6529190,,,The Bathers,
The Bean Eater,Q1232131,,,The Bean Eater,
The Beheading of Saint John the Baptist,Q2727560,,,The Beheading of Saint John the Baptist,
The Beheading of Saint Paul,Q21617356,,,The Beheading of Saint Paul,
The Birth of Saint John the Baptist,Q27700204,,,The Birth of Saint John the Baptist,
The Capture of Jerusalem by Titus,Q124039533,,,The Capture of Jerusalem by Titus,
The Capture of Syracuse with the Death of Archimedes,Q52145427,,,,
The Children of Charles I,Q119496876,,,The Children of Charles I,
The Choice of Hercules,Q118993578,Q283665,,The Choice of Hercules,
The Circumcision,Q20177576,,,The Circumcision,
The Confession,Q3207718,,,The Confession,
The Conspiracy of Catiline,Q776615,,,The Conspiracy of Catiline,
The Continence of Scipio,Q17347310,,,The continence of Scipio,
The Conversion of Saint Paul,Q1448203,Q19364829,,The Conversion of Saint Paul,
