原始名称 (CSV),英文正式名称 (Formal Name),实体类型,判断依据与参考数据库,Description_CN,Description_EN,Matched_QID,Matched_Label,Matched_Desc,Match_Score,Match_Method
Monsieur de Saint-Sauveur,M. de Saint-Sauveur,人名,依据: 赞助记录; 库: Gallica,18世纪法国外交官或中介，活跃于威尼斯。哈斯克尔探讨法意艺术市场交流中的关键节点。,18th-c. French agent or diplomat in Venice.,,,,,Failed (Relaxed)
Monsignor Olivieri,Monsignor Fabio Olivieri,人名,"库: DBI, Wikidata",17世纪罗马教廷官员及赞助人。哈斯克尔通过其档案考证了克雷芒十一世时期的核心订单。,Roman prelate and patron under Clement XI.,,,,,Failed (Relaxed)
Monument to Doge Giovanni Pesaro,Monument to Giovanni Pesaro,作品,原书: 第11章; 库: RKD,位于威尼斯弗拉里教堂。哈斯克尔以此分析威尼斯巴洛克风格中家族纪念性的过度表达。,Monument by Longhena and Melchior Barthel at the Frari.,,,,,Failed (Relaxed)
Monument to Pope Gregory XV,Monument to Gregory XV,作品,原书: 第6章; 库: RKD,勒格罗斯 (Legros) 在圣伊格纳齐奥教堂创作。哈斯克尔用其展现卢多维西家族对先辈权力的视觉巩固。,"Monument by Legros in Sant'Ignazio, Rome.",,,,,Failed (Relaxed)
Monument ... 1st Duke of Marlborough,Monument to the Duke of Marlborough,作品,原书: 第16章; 库: British Museum,威廉·肯特 或类似名家设计。哈斯克尔以此追踪18世纪英国贵族对意大利范式的借鉴。,British noble monument inspired by Italian models.,,,,,Failed (Relaxed)
Moses Trampling on Pharaoh's Crown,Moses Trampling on Pharaoh's Crown,作品,原书: 第14章; 库: RKD,詹巴蒂斯塔·皮托尼 (Pittoni) 为费尔德马沙尔·舒伦堡创作。哈斯克尔分析18世纪历史题材的市场。,Painting by Pittoni for Schulenburg.,,,,,Failed (Relaxed)
Mostra dei Remondini,Remondini Print Exhibition,活动,原书: 市场分析; 库: IA,哈斯克尔提及的雷蒙迪尼家族在巴萨诺进行的版画展示，反映了基层艺术市场的动员力。,Print exhibition by the Remondini publishers.,,,,,Failed (Relaxed)
Mostra del Tiepolo,Tiepolo Exhibition,活动,依据: 语境分析,哈斯克尔可能以此指代现代或当时对提埃坡罗作品的集中展示，用于讨论品味重估。,Exhibition used to discuss the revaluation of Tiepolo.,,,,,Failed (Relaxed)
Mourners at Tomb of Algarotti,Mourners at Algarotti's Tomb,作品,原书: 第14章,涉及弗朗切斯科·阿尔加罗蒂在比萨的墓地纪念。哈斯克尔分析启蒙运动鉴赏家的最终归宿。,Commemorative theme regarding Algarotti's tomb.,,,,,Failed (Relaxed)
Mucius Scaevola at the Altar,Mucius Scaevola before Porsenna,作品,原书: 第14章; 库: RKD,詹巴蒂斯塔·提埃坡罗 (Tiepolo) 的早期名作。哈斯克尔用其说明多尔芬家族的英雄主义赞助。,By Tiepolo for the Dolfin family.,Q21739401,Mucius Scaevola before Porsenna,painting by Giovanni Battista Tiepolo,0.8,Smart Match (Formal Name)
Murals at Windsor Castle,Windsor Castle Murals,作品,原书: 第16章; 库: RKD,安东尼奥·维里奥 (Verrio) 的装饰。哈斯克尔分析意大利巴洛克装饰画在斯图亚特王朝的成功。,By Antonio Verrio at Windsor.,,,,,Failed (Relaxed)
Murals for the Vienna Residence,Vienna Residence Murals,作品,原书: 结论,涉及意大利名家（如 弗朗切斯科·卡萨诺瓦）在奥地利宫廷的宏大赞助。,Italian decorative paintings at the Vienna Hofburg.,,,,,Failed (Relaxed)
Museo della Torre di San Marco,Museo della Torre di San Marco,地点,依据: 威尼斯语境,哈斯克尔以此指代威尼斯圣马可塔内的艺术收藏及赞助史研究地点。,Location associated with Venetian patronage history.,,,,,Failed (Relaxed)
Napoleonic government,Napoleonic Era in Italy,概念/时期,原书: 结论,哈斯克尔讨论拿破仑入侵如何导致意大利旧有赞助体制崩溃与艺术品大规模流向巴黎。,Collapse of traditional patronage under Napoleon.,,,,,Failed (Relaxed)
Naudaeana,Naudaeana,著作,依据: IA; 库: Internet Archive,加布里埃尔·诺代 (Gabriel Naudé) 的言行录。哈斯克尔以此分析17世纪鉴赏家的知识结构。,"Anecdotes of Gabriel Naudé, used to study connoisseurship.",,,,,Failed (Relaxed)
Nepotism in Rome,Nepotism and Art Patronage,概念,依据: 全书背景,全书核心概念：教皇家族（如巴贝里尼、帕姆菲利）如何通过艺术赞助巩固其统治。,Core theme regarding Papal families and art.,,,,,Failed (Relaxed)
Neptune Paying Homage to Venice,Neptune Offering Gifts to Venice,作品,"原书: 第14章; 库: RKD, Wikidata",提埃坡罗 为威尼斯总督府创作。象征着威尼斯海上权力的视觉化宣示。,By Tiepolo for the Doge's Palace.,Q47012750,Neptune Offering Gifts to Venice,painting by Giambattista Tiepolo,0.8,Smart Match (Formal Name)
Nero being shown ... Seneca,Nero before the Corpse of Seneca,作品,依据: 艺术史术语; 库: RKD,常见的斯多葛英雄题材（如 里奇 创作）。哈斯克尔分析当时赞助人对道德悲剧的审美。,Stoic theme common in 18th-c. Venetian painting.,,,,,Failed (Relaxed)
Niccolò Melanconici,Niccolò Melanconici,人名,依据: 档案记录; 库: DBI,哈斯克尔提及的17世纪赞助人或教士，活跃于罗马及其周边。,17th-c. patron active in or around Rome.,,,,,Failed (Relaxed)
Nicola del Rosso,Nicola del Rosso,人名,"库: DBI, Getty Research",17世纪佛罗伦萨收藏家，哈斯克尔以此分析美第奇时代非核心官僚的收藏口味。,17th-c. Florentine collector cited for private taste.,,,,,Failed (Relaxed)
Officium Beatae Mariae Virginis,Officium Beatae Mariae Virginis,作品,"依据: IA; 库: British Museum, RKD",詹巴蒂斯塔·皮亚泽塔 (Piazzetta) 插图的小册子。体现了大众宗教赞助的精美化趋势。,Illustrated book by Piazzetta.,,,,,Failed (Relaxed)
Oratory/Church of Santa Cecilia,Oratorio di Santa Cecilia (Bologna),地点,原书: 第10章; 库: Wikidata,博洛尼亚的演说堂。哈斯克尔以此分析该地在17世纪维持的持续性宗教赞助。,Site of significant religious patronage in Bologna.,Q55178542,oratorio di Santa Cecilia,"building in Perugia, Italy",0.6166666666666667,Relaxed Match (Name without Parens)
Orazio Marucelli,Orazio Marucelli,人名,依据: 赞助史; 库: DBI,18世纪佛罗伦萨赞助人，哈斯克尔提及他在马鲁切利亚纳图书馆建立过程中的作用。,Florentine patron linked to the Biblioteca Marucelliana.,,,,,Failed (Relaxed)
Oriental Customs,Oriental Customs (Prints),概念/作品,原书: 市场分析,哈斯克尔描述18世纪欧洲（如威尼斯）赞助人对“东方题材”版画的狂热。,18th-c. craze for oriental subjects in print patronage.,,,,,Failed (Relaxed)
Oriental Heads,Raccolta di teste (Oriental Heads),作品,"依据: IA; 库: British Museum, RKD",提埃坡罗 父子创作。哈斯克尔以此讨论18世纪威尼斯对异域情调的赞助性消费。,Famous series of etchings by the Tiepolo family.,,,,,Failed (Relaxed)
Original proposals ... Prato della Valle,Redesign of Prato della Valle,活动,原书: 第14章; 库: Google Scholar,安德里亚·梅莫 (Andrea Memmo) 在帕多瓦的大型城市化赞助计划及其草图。,Urbanistic project by Andrea Memmo in Padua.,,,,,Failed (Relaxed)
Osvaldo Böhm Photograph Collection,Osvaldo Böhm Collection,机构,依据: 参考文献库,威尼斯著名的艺术档案库。哈斯克尔以此作为重建巴洛克作品流向的实物依据。,Famous photo archive in Venice for art history studies.,,,,,Failed (Relaxed)
Ottavio Novaroli,Ottavio Novaroli,人名,库: DBI,17世纪博洛尼亚赞助人或经纪人。哈斯克尔通过其订单还原当时的价格体制。 / 17th-c. Bolognese patron,agent.,,,,,Failed (Relaxed)
Où sont des pasteurs ... et des moutons,Pastoral Landscapes (Concept),概念/语境,原书: 第6章; 库: Gallica,引自普桑或类似画家的诗意语录。哈斯克尔以此探讨17世纪田园风景画的赞助语境。,Quote used to discuss the context of pastoral patronage.,,,,,Failed (Relaxed)
P. Carlo de' Conti Lodoli ...,Carlo Lodoli,人名,"依据: 用户指认; 库: DBI, Wikidata",“苏格拉底建筑师”。哈斯克尔通过他分析18世纪威尼斯赞助理论从装饰向功能主义的转向。,Venetian architectural theorist known for functionalism.,Q601642,Carlo Lodoli,Italian architect (1690-1761),0.7,Smart Match (Formal Name)
Padre Massimo,Padre Massimo,人名,依据: 赞助记录; 库: DBI,哈斯克尔提及的17世纪教士及艺术中介，活跃于罗马教廷。,17th-c. cleric and art intermediary in the Roman Curia.,,,,,Failed (Relaxed)
Paintings for the Church in Salamanca,Paintings for Salamanca,作品,原书: 第8章; 库: RKD,索利梅纳 或 卢卡·焦尔达诺 为西班牙萨拉曼卡教堂创作的组画。,Neapolitan paintings commissioned for Salamanca.,,,,,Failed (Relaxed)
Palazzo Buonaccorsi Art Collection,Buonaccorsi Collection,机构,"依据: 用户指认; 库: Google, IA",马切拉塔最重要的私人收藏。哈斯克尔以此为核心案例研究省级史诗赞助。,Core site for Haskell's study on provincial epic cycles.,,,,,Failed (Relaxed)
Palazzo Taddeo,Palazzo Taddeo,地点,依据: 语境分析,位于博洛尼亚或罗马的宫殿。哈斯克尔分析在该地进行的巴洛克装饰工程。,Palace site discussed regarding Baroque decoration.,,,,,Failed (Relaxed)
Palazzo Zenobio,Palazzo Zenobio,地点,依据: 原书 第14章; 库: Wikidata,威尼斯著名的宫殿，藏有提埃坡罗的名作。哈斯克尔以此讨论18世纪威尼斯新贵的赞助。,Venetian palace; key for studying Tiepolo's patronage.,,,,,Failed (Relaxed)
Paola Berselli Ambri,Paola Berselli Ambri,人名,库: JSTOR,20世纪艺术史家。哈斯克尔引用其对 吉亚科莫·切鲁蒂 和伦巴第赞助的研究。,20th-c. art historian specialized in Ceruti studies.,,,,,Failed (Relaxed)
Paolo Maccarani,Paolo Maccarani,人名,库: DBI,18世纪罗马赞助人。哈斯克尔通过其信件分析赞助人对艺术家工作量的严苛管理。,18th-c. Roman patron; cited for rigorous artist management.,,,,,Failed (Relaxed)
Patron-artist relationship,Patron-Artist Relationship,概念,依据: 全书背景,哈斯克尔全书的灵魂：从“订制”到“经纪”，探讨两者的权力博弈。,The core analytical theme of Haskell's work.,,,,,Failed (Relaxed)
Pendentive Frescoes ... Gesù,Pendentives of the Gesù,作品,原书: 第6章; 库: RKD,巴奇乔 (Baciccio) 为耶稣教堂创作。哈斯克尔以此分析耶稣会宏大叙事的赞助。,Frescoes by Baciccio for the church of the Gesù.,,,,,Failed (Relaxed)
Philippe Zygodon,Philippe Zygodon,人名,"库: Gallica, DBI",哈斯克尔提及的活跃于17世纪意法艺术市场的代理商或收藏中介。,17th-c. art agent or intermediary in Franco-Italian trade.,,,,,Failed (Relaxed)
Pierre Motteux and his Family,Portrait of Pierre Motteux,作品,"原书: 第16章; 库: RKD, BM",乔瓦尼·安东尼奥·佩莱格里尼 (Pellegrini) 创作。哈斯克尔以此分析意大利画家在英国的定居与赞助。,By Pellegrini; showcases Italian success in England.,,,,,Failed (Relaxed)
Pietro Antonio Toni,Pietro Antonio Toni,人名,库: DBI,18世纪威尼斯赞助人或教士。哈斯克尔引用其记录以考证威尼斯教堂的订单。,18th-c. Venetian patron or cleric.,,,,,Failed (Relaxed)
Pietro Zuccoli,Pietro Zuccoli,人名,库: DBI,哈斯克尔提及的18世纪艺术经纪人，涉及对跨国艺术品流动的组织。,18th-c. art agent involved in international trade.,,,,,Failed (Relaxed)
Pinacoteca Nazionale di Lucca,Pinacoteca Nazionale di Lucca,机构,依据: 参考文献库; 库: Wikidata,卢卡国家美术馆。哈斯克尔考证该地区家族收藏散落与公有化过程中的核心地点。,National gallery of Lucca; key for regional study.,,,,,Failed (Relaxed)
"Pope Pius V, St Thomas Aquinas ...",The Coronation of the Virgin with Saints,作品,依据: 语境分析; 库: RKD,瓦萨里 或类似名家为特定的反宗教改革赞助人创作。,Altarpiece project discussed regarding saintly patronage.,Q28044698,The Coronation of the Virgin with Saints,painting by Lucas Cranach the Elder ?,0.7,Smart Match (Formal Name)
Portrait of Field Marshal Schulenburg,Portrait of Schulenburg,作品,"依据: 用户指认; 库: British Museum, RKD",詹巴蒂斯塔·皮托尼 或 提埃坡罗 创作。哈斯克尔全书研究个人赞助最重要的案例。,By Pittoni or Tiepolo; core case for individual patronage.,,,,,Failed (Relaxed)
Portrait of Madame Rosenberg,Madame Rosenberg,作品,依据: 原书 p.336; 库: RKD,罗萨尔巴·卡列拉 (Carriera) 创作的粉彩肖像，体现了18世纪国际化的肖像赞助。,Pastel portrait by Rosalba Carriera.,,,,,Failed (Relaxed)
Portrait of Streit's Father,Sigismund Streit's Father,作品,原书: 第14章; 库: RKD,涉及哈斯克尔笔下的核心赞助人 希吉斯蒙德·斯特赖特 (Streit) 委托创作的家族肖像。,Family portrait commissioned by Sigismund Streit.,,,,,Failed (Relaxed)
Portrait of Streit's Mother,Sigismund Streit's Mother,作品,原书: 第14章; 库: RKD,同上，斯特赖特赞助项目的组成部分。,Family portrait commissioned by Sigismund Streit.,,,,,Failed (Relaxed)
Portrait of Streit's Sister,Sigismund Streit's Sister,作品,原书: 第14章; 库: RKD,同上。哈斯克尔用这一组肖像分析当时商人赞助者的自我定位。,Family portrait commissioned by Sigismund Streit.,,,,,Failed (Relaxed)
Portrait of the Queen of Prussia,The Queen of Prussia,作品,依据: 语境分析; 库: RKD,可能由 罗萨尔巴·卡列拉 创作。哈斯克尔分析威尼斯肖像画在北欧宫廷的成功。,Likely by Carriera; illustrates international success.,,,,,Failed (Relaxed)
Portraits of Venetian Cardinals,Venetian Cardinals,作品,依据: 语境分析,泛指此类群体肖像，哈斯克尔分析威尼斯教会权力的视觉化构建。,Portraits of high-ranking Venetian clergy.,,,,,Failed (Relaxed)
Portraits of Venetian Popes,Venetian Popes,作品,依据: 语境分析,泛指此类肖像（如教皇克雷芒十三世），反映了18世纪威尼斯对罗马最高权力的介入。,Portraits of Popes of Venetian origin.,,,,,Failed (Relaxed)
Portraits of the Doges of Venice,Doge Portraits,作品,原书: 第11章,威尼斯总督府内的官方肖像系列。哈斯克尔以此分析“国家赞助”的延续性。,Official series of portraits in the Doge's Palace.,,,,,Failed (Relaxed)
Presenzini Cigoli,Ludovico Cardi (Cigoli),人名,"依据: 拼写更正; 库: Wikidata, DBI",[纠错] 17世纪初托斯卡纳重要画家。哈斯克尔分析其如何作为美第奇家族在罗马的艺术代表。,Leading Tuscan painter active in Rome.,Q928350,Cigoli,Tuscan painter active in Rome (1559-1613),0.5608695652173914,Relaxed Match (Name without Parens)
Prices paid to artists,Artist Prices,概念,依据: 全书背景,哈斯克尔全书研究的经济基础：探讨名声如何直接转化为高额赞助金。,Economic basis of patronage: celebrity and fees.,,,,,Failed (Relaxed)
Prince Peretti,Cardinal Alessandro Peretti di Montalto,人名,"依据: 语境指认; 库: Wikidata, DBI",17世纪早期最显赫的罗马赞助人。哈斯克尔强调了他对马拉塔等人的奠基性支持。,Prominent early 17th-c. Roman patron.,Q82659,Alessandro Peretti di Montalto,Italian Roman Catholic Cardinal Deacon,0.5347826086956522,Smart Match (Formal Name)
Prince Pio di Savoia,Prince Pio di Savoia,人名,库: DBI,18世纪罗马及中欧的赞助代理人。哈斯克尔分析其在艺术品跨国流转中的作用。,18th-c. agent and patron in international art flow.,,,,,Failed (Relaxed)
Princess of Rossano,Olimpia Aldobrandini,人名,"库: DBI, Wikidata",帕姆菲利-博尔盖塞家族的关键女赞助人，哈斯克尔以此讨论家族联姻与赞助权力的整合。,Key female patron of the Aldobrandini-Pamphilj circle.,Q7086876,Olimpia Aldobrandini,Aldobrandini family member,0.7,Smart Match (Formal Name)
Procuratore Canale,Giulio Canale,人名,"库: DBI, IA",威尼斯检察官及赞助人。哈斯克尔提及他在威尼斯末期官方庆典赞助中的角色。,Venetian Procurator involved in official patronage.,,,,,Failed (Relaxed)
Prospero Pesci,Prospero Pesci,人名,"库: Wikidata, DBI",18世纪博洛尼亚画家，哈斯克尔以此分析当时地方赞助市场的萎缩。,18th-c. Bolognese painter and market witness.,,,,,Failed (Relaxed)
Provincial centres of art patronage,Provincial Art Patronage,概念,依据: 全书核心主题,探讨马切拉塔、博洛尼亚等非权力中心地区的独特赞助生态。,Decentralized patronage ecosystems in Italy.,,,,,Failed (Relaxed)
Publishers in Venice,Venetian Publishers,机构/群体,原书: 第14章,如 雷蒙迪尼 和 扎内蒂。哈斯克尔以此分析18世纪出版业对艺术赞助的接管。,Key group in 18th-c. art dissemination.,,,,,Failed (Relaxed)
Quadri che rappresentano fatti ...,Scriptural Paintings,作品,依据: IA; 库: British Museum,指代赞助人委托创作的圣经组画，哈斯克尔用其探讨宗教叙事的市场化。,Biblical cycles commissioned by private patrons.,,,,,Failed (Relaxed)
Queen Jezebel Being Punished by Jehu,The Punishment of Jezebel,作品,原书: p.265; 库: RKD,詹巴蒂斯塔·皮托尼 或 提埃坡罗 创作。反映了当时赞助人对暴力史诗题材的接纳。,Epic subject by Pittoni or Tiepolo.,,,,,Failed (Relaxed)
Raccolta di centododici stampe...,Raccolta di 112 stampe,著作,依据: IA; 库: Internet Archive,阿尔加罗蒂 或类似鉴赏家整理的版画集。体现了18世纪对“全集”赞助的狂热。,Famous series of prints published for connoisseurs.,,,,,Failed (Relaxed)
Raphael Loggias,Raphael's Loggie,作品,依据: 语境指认; 库: Wikidata,哈斯克尔讨论该地作为全欧洲赞助人模仿与临摹终极范式的意义。,The ultimate model for European patronage copies.,,,,,Failed (Relaxed)
Reception of Landscapes,Reception of Landscape Painting,概念,依据: 全书核心概念,探讨风景画如何从“低等题材”在赞助人的重金支持下获得学术地位。,Status shift of landscape painting in patronage.,,,,,Failed (Relaxed)
Relief of Field Marshal Schulenburg,Schulenburg Relief,作品,依据: 用户指认; 库: British Museum,可能由 安东尼奥·卡诺瓦 或其师所作。哈斯克尔分析对军事功勋的艺术铭记。,Commemorative relief for Field Marshal Schulenburg.,,,,,Failed (Relaxed)
Religion Overthrowing Heresy,Religion Overthrowing Heresy,作品,原书: 第6章; 库: RKD,皮埃尔·勒格罗斯 (Legros) 的雕塑名作。象征耶稣会赞助的凯旋观。,Sculpture by Legros for the church of the Gesù.,,,,,Failed (Relaxed)
Religious Decorations at Whitehall,Whitehall Chapel Decorations,作品,原书: 第16章; 库: RKD,安东尼奥·维里奥 的作品。哈斯克尔以此分析天主教装饰风格在英国王室的渗透。,"By Verrio, illustrating Catholic influence in England.",,,,,Failed (Relaxed)
Remondini family,Remondini Family,人名/家族,"依据: 用户指认; 库: Wikidata, IA",巴萨诺著名的出版家族。哈斯克尔以此揭示艺术赞助如何通过廉价版画进入基层。,Famous family of publishers; vital to art distribution.,,,,,Failed (Relaxed)
Ritratto con cristallo,Portrait with a Crystal Ball,作品,依据: 语境分析; 库: RKD,哈斯克尔以此指代特定赞助语境下的肖像（如 皮亚泽塔 或 里奇 创作）。,Specific portrait mentioned in connoisseur circles.,,,,,Failed (Relaxed)
Robert Alexander Waller Fund,Robert Alexander Waller Fund,机构,库: JSTOR,现代学术基金。哈斯克尔在探讨现代艺术史研究资金来源时提及。,Funding source for art history research.,,,,,Failed (Relaxed)
Rococo Pavilion,Rococo Pavilion,作品,依据: 艺术史术语,泛指此类轻盈、装饰性极强的赞助工程。哈斯克尔以此分析18世纪赞助品味的精致化。,Decorative project type in late-Baroque patronage.,,,,,Failed (Relaxed)
Rosalba Lorenzetti,Rosalba Lorenzetti,人名,库: DBI,18世纪威尼斯赞助相关人物，可能为罗萨尔巴·卡列拉圈子中的成员。,Figure in the 18th-c. Venetian artistic circle.,,,,,Failed (Relaxed)
Ruins of the Church of the Cross,Ruins of the Scalzi Church,作品,"库: Google, Venice archives",描述威尼斯赤足教堂在特定历史节点（如19世纪）的损毁，哈斯克尔以此讨论文化遗产。,Regarding the Scalzi church mentioned for heritage status.,,,,,Failed (Relaxed)
Sacrifices to Priapus,Sacrifices to Priapus,作品,依据: 艺术史术语; 库: RKD,常见的异教题材（如 里奇 或 提埃坡罗 创作）。哈斯克尔分析当时的博古赞助趣味。,Neo-pagan subject in 18th-c. Venetian painting.,,,,,Failed (Relaxed)
Samson Slaying ... an Ass,Samson and the Philistines,作品,依据: 语境分析; 库: RKD,典型的英雄英雄史诗题材（如 古尔齐诺 或 焦尔达诺 创作）。,Heroic subject by Guercino or Luca Giordano.,Q27700016,Samson and the Philistines,painting by Giulio Cesare Procaccini,0.7,Smart Match (Formal Name)
San Niccolò al Lido,San Niccolò al Lido,地点,依据: 原书 第11章; 库: Wikidata,威尼斯的教堂。哈斯克尔以此探讨威尼斯共和国在特定庆典中的空间赞助。,Site for significant Venetian ceremonial patronage.,,,,,Failed (Relaxed)
Saverio Savini,Saverio Savini,人名,库: DBI,哈斯克尔引用或提及的17世纪赞助中介或代理商。,17th-c. art agent or broker mentioned by Haskell.,,,,,Failed (Relaxed)
Scenes from the Life of Scipio Africanus,The Cycle of Scipio Africanus,作品,原书: 第14章; 库: RKD,提埃坡罗 或 里奇 为赞助人创作的组画。哈斯克尔分析对古罗马道德的赞助模仿。,Cycle by Tiepolo or Ricci for private patrons.,,,,,Failed (Relaxed)
Scenes of Christian Warfare,Christian Warfare (Battlepieces),作品,依据: 语境分析,哈斯克尔以此指代赞助人委托创作的反对奥斯曼土耳其的政治性画作。,Political battlepieces commissioned for propaganda.,,,,,Failed (Relaxed)
Scenes of Venetian Noble Life,Venetian Noble Life,作品,原书: 第14章; 库: RKD,彼得罗·隆吉 (Longhi) 的风俗画。哈斯克尔全书研究赞助人“真实生活”自我投射的终极依据。,Genre paintings by Pietro Longhi.,,,,,Failed (Relaxed)
School of Carlo Cignani,School of Carlo Cignani,群体,原书: 第10章,探讨17世纪博洛尼亚画派在齐尼亚尼领导下的赞助传承。,The followers and pupils of Carlo Cignani.,,,,,Failed (Relaxed)
Schönborn family,Schönborn Family,家族,依据: 原书 结论; 库: Wikidata,德意志显赫的赞助家族（维尔茨堡）。哈斯克尔分析意大利大师在德国宫廷的商业网络。,Major German princely patrons of Italian masters.,,,,,Failed (Relaxed)
Sculptures for the Cathedral,Cathedral Sculptures,作品,依据: 全书背景,泛指对大教堂（如圣彼得或都灵大教堂）的公共雕塑赞助。,Public sculptural patronage projects for cathedrals.,,,,,Failed (Relaxed)
Scuola Grande dei Carmini / Carità? (拆 A),Scuola Grande dei Carmini,机构,依据: 拆分原则; 库: Wikidata,[拆分] 威尼斯卡尔米尼大会堂。哈斯克尔详述了该机构如何委托提埃坡罗进行大规模装饰。,Major site of Tiepolo's decorative patronage.,Q1641449,Scuola Grande dei Carmini,architectural structure,0.7,Smart Match (Formal Name)
Scuola Grande dei Carmini / Carità? (拆 B),Scuola Grande della Carità,机构,依据: 拆分原则; 库: Wikidata,[拆分] 威尼斯慈善大会堂。哈斯克尔探讨威尼斯基层会堂的赞助机制。 / Important Venetian social,artistic institution.,,,,,Failed (Relaxed)
Sebastiano Marcotti,Sebastiano Marcotti,人名,库: DBI,哈斯克尔引用或提及的17世纪赞助相关人物，涉及对威尼斯地区订单的微观记录。,17th-c. figure in patronage history studies.,,,,,Failed (Relaxed)
Sebastiano Molino,Sebastiano Molino,人名,依据: 家族研究; 库: DBI,威尼斯赞助人。哈斯克尔以此分析莫利诺家族在18世纪收藏界的影响。,Member of the Molino family and art patron.,,,,,Failed (Relaxed)
Self-Portrait as Winter,Self-Portrait as Winter,作品,依据: 语境分析; 库: RKD,可能指代 罗萨尔巴·卡列拉 创作的寓言肖像。哈斯克尔探讨当时鉴赏家对此类奇想画的赞助。,Allegorical self-portrait by Carriera.,,,,,Failed (Relaxed)
Series of Etruscan Phallic Symbols,Stampe di Simboli Fallici Etruschi,作品,"依据: IA; 库: British Museum, Getty",指代由 皮拉内西 (Piranesi) 或 乔瓦尼·巴蒂斯塔·帕塞里 出版的关于伊特鲁里亚考古符号的版画。反映了18世纪对异教考古的赞助兴趣。,Archaeological prints reflecting 18th-c. interest in Etruscan symbols.,,,,,Failed (Relaxed)
Service de Documentation Photographique...,Service photographique des Musées Nationaux,机构,"库: Gallica, Wikidata",法国国家博物馆摄影文档中心。哈斯克尔在研究卢浮宫及法籍艺术品流转史时引用的核心影像库。,Core photographic archive for French national museums.,,,,,Failed (Relaxed)
Servizio particolare,Servizio particolare,概念,依据: 原书 术语分析,指代赞助人与艺术家之间的“私人委托服务”。哈斯克尔以此探讨非市场化的独占性赞助契约。,Private commission service between patron and artist.,,,,,Failed (Relaxed)
Sheila Rinehart,Sheila Rinehart,人名,"库: JSTOR, Google Scholar",20世纪艺术史学家。哈斯克尔引用其对 卡西阿诺·达尔·波佐 (Cassiano dal Pozzo) “纸上博物馆”的研究。,20th-c. art historian cited for Dal Pozzo studies.,,,,,Failed (Relaxed)
Silvia Meloni Trkulja,Silvia Meloni Trkulja,人名,"库: DBI, Google Scholar",意大利顶级艺术史学家，佛罗伦萨宫廷赞助研究权威。哈斯克尔在考证美第奇家族晚期订单时多次引用其研究。,Leading expert on Medici patronage and court art.,,,,,Failed (Relaxed)
Sketch for Venus at the Forge of Vulcan,Venus in the Forge of Vulcan (Sketch),作品,依据: 原书 p.124; 库: RKD,卢卡·焦尔达诺 (Luca Giordano) 或 普桑 的草图。哈斯克尔以此讨论巴洛克史诗画的创作准备流程。,Preparatory sketch by Giordano or Poussin.,Q26808343,Venus in the Forge of Vulcan,painting by Pieter Thijs,0.6307692307692307,Relaxed Match (Name without Parens)
Social position of the artist,The Social Status of the Artist,概念,依据: 全书 绪论/结论,全书核心论题：探讨赞助制度如何推动艺术家从“手工艺人”向“宫廷知识分子”转型的社会地位变化。,Core theme: social evolution of artists.,,,,,Failed (Relaxed)
Social significance of painting,Social significance of painting,概念,依据: 全书 核心逻辑,绘画作为权力和地位象征的社会意义，哈斯克尔分析赞助人为何愿意为特定题材支付高价。,The use of art as a tool for social standing.,,,,,Failed (Relaxed)
Social status of artists,Social status of artists,概念,依据: 全书 核心逻辑,与 407 行相似，但侧重于法律与经济地位的微观分析（如行会与学院的权力更迭）。,Micro-analysis of artists' legal and economic standing.,,,,,Failed (Relaxed)
Soderini family,Soderini family,家族,"库: DBI, Wikidata",佛罗伦萨显赫家族。哈斯克尔以此分析该家族在梅第奇时代及以后在跨国艺术交易中的赞助作用。,Prominent Florentine family active in patronage.,,,,,Failed (Relaxed)
Soprintendenza alle Gallerie,Soprintendenza alle Gallerie,机构,依据: 参考文献库,意大利官方的艺术监管机构。哈斯克尔在考证国家性收藏及文物保护史时提及。,Italian official body for art supervision.,,,,,Failed (Relaxed)
Spanish patronage,Spanish Patronage in Italy,概念,依据: 原书 第8章,探讨 17-18 世纪西班牙王室及总督在意的大规模艺术订制与外交收购。,Royal and Viceregal Spanish patronage in Italy.,,,,,Failed (Relaxed)
St Stanislaus Kostka on his Deathbed,Saint Stanislaus Kostka on his Deathbed,作品,"原书: 第6章; 库: RKD, Wikidata",皮埃尔·勒格罗斯 (Legros) 在圣安德烈奎里纳莱教堂创作的彩色大理石雕塑。耶稣会赞助的杰作。,Polychrome sculpture by Legros; a Jesuit masterpiece.,,,,,Failed (Relaxed)
Stamperia Albrizzi,Stamperia Albrizzi,机构,依据: 用户指认; 库: DBI,威尼斯著名的阿尔布里齐家族经营的印刷厂，负责了大量 18 世纪顶级艺术画册的出版赞助。,Famous Venetian publishing house run by the Albrizzi.,,,,,Failed (Relaxed)
State Inquisition,Venetian State Inquisition,机构,依据: 原书 绪论; 库: Wikidata,威尼斯国家宗教裁判所。哈斯克尔探讨其对威尼斯绘画题材（如委罗内塞）的审查与赞助限制。,Venetian Inquisition and its impact on art.,,,,,Failed (Relaxed)
Statue of Field Marshal Schulenburg,Statue of Matthias von der Schulenburg,作品,"依据: 用户指认; 库: British Museum, RKD",安东尼奥·盖 (Antonio Gai) 为科孚岛创作，后存于舒伦堡收藏。哈斯克尔以此分析军事功勋的个人赞助。,Commemorative statue by Antonio Gai.,,,,,Failed (Relaxed)
